RA(deg),Dec(deg)
133.694100,-6.743784
133.689712,-6.756495
133.717516,-6.782719
133.717728,-6.785969
133.290789,-6.675561
133.631003,-6.810569
133.560461,-6.817400
133.640329,-6.847915
133.249824,-6.848962
133.570028,-6.992460
133.524613,-6.999822
133.496665,-6.999474
133.220972,-6.921964
133.796976,-7.103138
133.360578,-6.975372
133.557144,-7.066648
133.539554,-7.106656
133.496909,-7.181564
133.188286,-7.092559
133.609679,-7.226226
133.594316,-7.266504
133.681299,-7.298251
133.340805,-7.213199
133.418158,-7.246669
133.742015,-7.365932
133.745488,-7.379581
133.106792,-7.198853
133.653472,-7.370141
133.650799,-7.372100
133.654156,-7.374336
