RA(deg),Dec(deg)
133.864470,-6.283146
133.975942,-6.406481
133.977120,-6.409235
133.600947,-6.300105
133.764986,-6.382854
133.786996,-6.478168
133.748572,-6.469376
133.695279,-6.465911
133.543835,-6.462143
133.469042,-6.468742
133.408002,-6.467664
133.676738,-6.638940
133.700373,-6.658489
133.508929,-6.603333
133.882796,-6.727121
133.468963,-6.609655
133.390006,-6.592872
133.436021,-6.653296
133.771173,-6.804002
133.757249,-6.814420
133.291219,-6.675920
133.658416,-6.827990
133.454559,-6.775548
133.560209,-6.817791
133.402241,-6.808759
133.548150,-6.859146
